"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_latitude","from_longitude","from_location","to_latitude","to_longitude","to_location"
"25956246","2019-12-29T16:50:57.000","2019-12-29T17:21:41.000","45","1844","161","Rush St & Superior St","191","Canal St & Monroe St","Customer",,,"41.895764746","-87.625908033","POINT (-87.6259080327 41.89576474564)","41.88169","-87.63953","POINT (-87.63953 41.88169)"
"25956245","2019-12-29T16:50:57.000","2019-12-29T17:21:48.000","20","1851","161","Rush St & Superior St","191","Canal St & Monroe St","Customer",,,"41.895764746","-87.625908033","POINT (-87.6259080327 41.89576474564)","41.88169","-87.63953","POINT (-87.63953 41.88169)"
"25956244","2019-12-29T16:50:53.000","2019-12-29T17:21:33.000","5408","1840","161","Rush St & Superior St","191","Canal St & Monroe St","Customer",,,"41.895764746","-87.625908033","POINT (-87.6259080327 41.89576474564)","41.88169","-87.63953","POINT (-87.63953 41.88169)"
"25956243","2019-12-29T16:50:45.000","2019-12-29T17:21:39.000","4136","1854","161","Rush St & Superior St","191","Canal St & Monroe St","Customer",,,"41.895764746","-87.625908033","POINT (-87.6259080327 41.89576474564)","41.88169","-87.63953","POINT (-87.63953 41.88169)"
"25956239","2019-12-29T16:50:06.000","2019-12-29T17:02:25.000","2730","739","62","McCormick Place","62","McCormick Place","Customer",,,"41.851375173","-87.618834649","POINT (-87.6188346489 41.8513751729)","41.851375173","-87.618834649","POINT (-87.6188346489 41.8513751729)"
"25956236","2019-12-29T16:49:50.000","2019-12-29T17:02:45.000","643","774","62","McCormick Place","62","McCormick Place","Customer",,,"41.851375173","-87.618834649","POINT (-87.6188346489 41.8513751729)","41.851375173","-87.618834649","POINT (-87.6188346489 41.8513751729)"
"25956235","2019-12-29T16:49:45.000","2019-12-29T17:16:11.000","3207","1585","150","Fort Dearborn Dr & 31st St","282","Halsted St & Maxwell St","Customer",,,"41.838556","-87.608218","POINT (-87.608218 41.838556)","41.864883","-87.647071","POINT (-87.647071 41.864883)"
"25956229","2019-12-29T16:48:49.000","2019-12-29T16:59:43.000","199","653","3","Shedd Aquarium","76","Lake Shore Dr & Monroe St","Customer","Female","1970","41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956228","2019-12-29T16:48:39.000","2019-12-29T16:59:24.000","4696","645","3","Shedd Aquarium","76","Lake Shore Dr & Monroe St","Customer","Female","1970","41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956226","2019-12-29T16:48:31.000","2019-12-29T16:59:52.000","1207","681","3","Shedd Aquarium","76","Lake Shore Dr & Monroe St","Customer","Female","1970","41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956224","2019-12-29T16:48:29.000","2019-12-29T16:59:36.000","160","666","3","Shedd Aquarium","76","Lake Shore Dr & Monroe St","Customer","Female","1970","41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956219","2019-12-29T16:47:54.000","2019-12-29T17:07:19.000","711","1164","76","Lake Shore Dr & Monroe St","76","Lake Shore Dr & Monroe St","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956215","2019-12-29T16:47:03.000","2019-12-29T17:07:34.000","4001","1231","76","Lake Shore Dr & Monroe St","76","Lake Shore Dr & Monroe St","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
